"Participant","Block","Condition","ConditionName","Task","Time","Distance","XDiff","YDiff","ZDiff"
"1","1",2,"Haptics+Lights","1",8659.81,14.8552,6.6727,-12.0764,5.506
"1","1",2,"Haptics+Lights","2",7261.66,20.7521,11.64911,-2.44566,-16.998
"1","1",2,"Haptics+Lights","3",13118.4,6.55584,5.40949999999999,3.474,-1.28399999999999
"1","1",2,"Haptics+Lights","4",13341.8,23.7294,11.4916,-3.06593,20.534
"1","1",2,"Haptics+Lights","5",8432.94,28.4456,11.5247,-11.0221,23.555
"1","1",2,"Haptics+Lights","6",14013,36.8031,11.08399,-4.956,34.743
"1","1",2,"Haptics+Lights","9",7966.66,31.9551,19.13482,-6.04567,24.868
"1","1",2,"Haptics+Lights","10",13421.4,57.1945,11.716523,-12.15225,54.646
"1","1",2,"Haptics+Lights","14",7705.22,48.9618,6.5659,-4.1937,48.338
"1","1",2,"Haptics+Lights","15",12682.4,62.9229,12.01688,-1.9366,61.734
"1","1",2,"Haptics+Lights","16",7836.3,10.9945,6.5455,-2.6596,8.42400000000001
"1","1",2,"Haptics+Lights","18",12725.5,15.621,9.22374,-10.9458,-6.255
"1","1",2,"Haptics+Lights","19",7998.85,16.4626,13.8259,-8.4531,-2.899
"1","1",2,"Haptics+Lights","20",4807.43,17.7286,11.7964,4.477,12.454
"1","2",3,"Lights","2",8044.02,44.5432,-4.42262,43.12808,10.223
"1","2",3,"Lights","3",11759.5,59.1655,-48.1682,17.48161,29.577
"1","2",3,"Lights","4",14371.9,51.5708,41.33903,29.85497,-7.70100000000002
"1","2",3,"Lights","5",14815.3,33.072,-16.5813,16.0061,-23.719
"1","2",3,"Lights","6",10654.8,20.2073,-16.87988,-0.6159,-11.092
"1","2",3,"Lights","7",12667.1,16.2404,5.85295,14.8472,3.00900000000001
"1","2",3,"Lights","9",13961.7,24.9135,15.77,11.94275,-15.145
"1","2",3,"Lights","10",4306.74,26.2619,2.46078,-4.62466,25.734
"1","2",3,"Lights","11",10864.9,28.9461,21.5301,9.1362,17.055
"1","2",3,"Lights","12",14587.7,32.1421,-17.7913,24.98795,-9.602
"1","2",3,"Lights","14",6382.14,21.2862,4.9639,20.1986,4.52500000000001
"1","2",3,"Lights","15",7837.91,16.3486,-0.752400000000002,13.96634,-8.465
"1","2",3,"Lights","16",9766.95,17.1379,-10.7427,-3.276,12.944
"1","2",3,"Lights","17",4264.69,16.4122,1.2349,16.30301,-1.43099999999998
"1","2",3,"Lights","18",10377.9,24.3259,-1.051655,-9.9625,22.167
"1","2",3,"Lights","19",8385.31,24.4356,-3.17889,-14.4987,19.411
"1","3",1,"Haptics","1",9758.48,37.3387,5.106,-1.6372,36.951
"1","3",1,"Haptics","2",4382.81,36.4019,8.28251,-1.53493,35.414
"1","3",1,"Haptics","3",5257.69,80.5565,1.26739999999999,5.71671,80.344
"1","3",1,"Haptics","4",6879.26,50.0639,14.1184,-4.70511,47.801
"1","3",1,"Haptics","5",9972.23,31.3478,8.722,-4.1088,29.829
"1","3",1,"Haptics","6",9228.97,13.9196,12.55162,-2.125,-5.63000000000002
"1","3",1,"Haptics","7",10891.6,16.1755,8.73225,-10.0474,9.18899999999999
"1","3",1,"Haptics","8",6189.91,53.0561,10.86173,-1.22446,51.918
"1","3",1,"Haptics","9",7186.46,11.8035,11.6097,-2.08267,0.449000000000012
"1","3",1,"Haptics","10",11313.8,60.4608,1.9604,-0.0288199999999996,60.429
"1","3",1,"Haptics","11",4586.99,34.3537,12.1772,-1.9191,32.066
"1","3",1,"Haptics","12",6661.21,32.6479,1.68109999999999,-0.868499999999997,32.593
"1","3",1,"Haptics","13",9239.73,57.2879,11.358716,-2.2653,56.105
"1","3",1,"Haptics","14",9532.96,41.6631,9.3024,-5.3283,40.26
"1","3",1,"Haptics","15",3928.72,66.1,10.19443,3.9356,65.19
"1","3",1,"Haptics","16",5045.14,58.748,7.9368,-8.5977,57.57
"1","3",1,"Haptics","17",9782.1,36.201,10.7262,-1.12825,34.557
"1","3",1,"Haptics","18",9841.02,16.4976,10.32444,-9.015,-9.18199999999999
"1","3",1,"Haptics","19",7071.62,8.69498,6.0264,0.3733,6.25700000000001
"1","3",1,"Haptics","20",4004.18,23.3412,18.6301,4.837,13.204
"1","4",4,"Haptics","2",10880.8,28.8033,14.74551,-7.48702,-23.582
"1","4",4,"Haptics","3",5775.72,38.1203,15.2658,-3.3594,34.768
"1","4",4,"Haptics","4",11764.6,46.1714,7.4507,-8.721742,44.724
"1","4",4,"Haptics","5",12217.2,31.4266,8.685,-11.0007,28.128
"1","4",4,"Haptics","7",7469.3,21.5426,11.08975,-12.5741,13.527
"1","4",4,"Haptics","8",7227.23,33.482,9.07003,-6.45927,31.576
"1","4",4,"Haptics","9",10968.2,27.6621,12.9265,-4.17335,24.097
"1","4",4,"Haptics","10",8773.05,17.513,10.91021,-12.03506,6.54400000000001
"1","4",4,"Haptics","11",4934.96,23.6342,14.1938,2.7247,18.7
"1","4",4,"Haptics","12",9682.76,34.747,6.6115,-1.3756,34.084
"1","4",4,"Haptics","13",9814.88,39.9839,9.992646,-3.6347,38.544
"1","4",4,"Haptics","14",8021.04,62.733,6.1702,-2.9462,62.359
"1","4",4,"Haptics","15",4839.12,19.4383,17.001919,-3.8753,8.589
"1","4",4,"Haptics","16",8324.49,44.6552,9.0631,-1.6701,43.693
"1","4",4,"Haptics","17",10004.8,37.2858,12.5938,0.68117,35.088
"1","4",4,"Haptics","18",3908.04,34.5221,7.83618,-11.87272,31.454
"1","4",4,"Haptics","19",7766.96,28.8876,7.7196,-4.4441,27.48
"1","4",4,"Haptics","20",9998.43,17.8635,15.5351,1.3632,-8.71200000000002
"1","5",6,"Lights","2",6495.28,33.2168,-3.699491,23.66408,23.015
"1","5",6,"Lights","5",4792.18,33.5885,17.42828,25.0644,14.008
"1","5",6,"Lights","6",11585.1,18.05,3.68198,-0.0669000000000004,17.67
"1","5",6,"Lights","7",14478.2,27.6784,26.24195,-8.6461,1.64400000000001
"1","5",6,"Lights","10",9150.02,31.6212,-16.8261,19.86835,-17.946
"1","5",6,"Lights","11",13830.2,18.4799,13.7582,11.97547,-2.96799999999999
"1","5",6,"Lights","12",13363.3,14.2562,-6.332,8.484,-9.548
"1","5",6,"Lights","14",10535.9,36.1323,-1.43423,0.385200000000001,36.102
"1","5",6,"Lights","16",9241.16,26.5557,4.7481,6.77272,25.234
"1","5",6,"Lights","17",13191.2,28.386,-23.14091,16.42931,0.585000000000008
"1","5",6,"Lights","18",7713.42,27.5231,2.10402,20.4511,-18.299
"1","5",6,"Lights","19",3956.15,24.4736,1.9135,19.5106,-14.65
"1","5",6,"Lights","20",6955.94,24.257,0.3611,-10.621,21.805
"1","6",5,"Haptics+Lights","1",10569.2,19.7352,-11.2708,-1.74,16.106
"1","6",5,"Haptics+Lights","2",6666.62,18.1795,10.01271,-6.73503,13.597
"1","6",5,"Haptics+Lights","3",5357.73,18.0918,13.0594,0.167,-12.519
"1","6",5,"Haptics+Lights","4",4462.24,20.3145,20.072,-2.95826,1.02099999999999
"1","6",5,"Haptics+Lights","5",4157.45,16.4844,13.1041,-9.5779,-2.87700000000001
"1","6",5,"Haptics+Lights","6",3435.67,16.1811,14.82682,-5.5614,-3.32600000000002
"1","6",5,"Haptics+Lights","7",6250.48,31.0749,9.58985,-12.9152,26.587
"1","6",5,"Haptics+Lights","8",5163.01,15.5879,10.49437,-11.21707,2.65099999999998
"1","6",5,"Haptics+Lights","9",5565.56,16.0839,9.2785,-6.89123,11.185
"1","6",5,"Haptics+Lights","10",6575.23,10.6055,9.61222,-3.27327,-3.06100000000001
"1","6",5,"Haptics+Lights","11",4692.22,19.2356,14.2048,-0.431100000000001,12.963
"1","6",5,"Haptics+Lights","12",4054.35,18.0827,8.70039999999999,-0.113499999999998,-15.852
"1","6",5,"Haptics+Lights","13",11532.2,26.4861,13.22352,-3.9287,22.61
"1","6",5,"Haptics+Lights","14",8629.53,22.4434,4.3364,-4.0519,21.645
"1","6",5,"Haptics+Lights","15",9352.14,9.38982,9.29396,1.2537,-0.467999999999989
"1","6",5,"Haptics+Lights","16",6120.66,11.2357,7.4883,0.451099999999999,-8.36500000000001
"1","6",5,"Haptics+Lights","17",9052.24,44.6085,9.3653,-8.92485,42.692
"1","6",5,"Haptics+Lights","18",4177.38,25.7527,6.90779,-7.0723,23.779
"1","6",5,"Haptics+Lights","19",4505.71,10.7242,8.0521,-7.0753,-0.331999999999994
"1","6",5,"Haptics+Lights","20",5431.34,16.1414,13.6613,2.7901,8.13199999999998
"2","1",3,"Lights","1",4855.42,49.2957,-9.9359,27.1056,-39.958
"2","1",3,"Lights","2",1508.49,45.0241,-10.07018,39.16938,19.787
"2","1",3,"Lights","3",3798,31.3634,15.396,-16.3249,21.912
"2","1",3,"Lights","4",2816.81,24.1834,1.27959999999999,23.32627,-6.25200000000001
"2","1",3,"Lights","5",2461.12,20.1016,15.0859,-1.9376,13.143
"2","1",3,"Lights","6",5540.99,24.5022,15.27572,-6.7044,-17.946
"2","1",3,"Lights","7",11238.2,63.8293,26.57545,54.666,19.482
"2","1",3,"Lights","8",2340.03,57.574,21.9441,50.60133,-16.514
"2","1",3,"Lights","9",5973.85,45.8975,-23.2372,14.1239,-36.975
"2","1",3,"Lights","10",5072.72,21.1962,0.3759,-2.29091,-21.069
"2","1",3,"Lights","11",5185.02,28.2617,-9.6529,-23.7712,-11.852
"2","1",3,"Lights","12",4222.99,32.5436,23.4185,-21.2162,7.78
"2","1",3,"Lights","13",6233.89,29.9855,13.86348,16.24436,-21.049
"2","1",3,"Lights","14",8948.4,31.1787,-9.54814,26.517,13.334
"2","1",3,"Lights","15",4968.44,28.5503,8.55807,22.23226,-15.736
"2","1",3,"Lights","16",12460.3,55.3195,42.8909,33.5683,-9.685
"2","1",3,"Lights","17",9277.11,28.8115,26.7494,-9.17614,5.511
"2","1",3,"Lights","18",1412.71,45.9489,-14.11836,32.1273,29.661
"2","1",3,"Lights","19",6469.38,30.0676,-2.83522,-24.64643,16.987
"2","1",3,"Lights","20",5384.04,37.7025,-13.9662,-35.0197,-0.214000000000027
"2","2",4,"Haptics","1",4830.2,72.6932,-6.3357,1.9552,72.39
"2","2",4,"Haptics","2",7269.16,24.9492,-0.33951,19.49268,15.569
"2","2",4,"Haptics","3",5393.89,78.1023,9.17299999999999,3.7597,77.471
